Accuracy,Precision,Recall,F1-Score,ROC-AUC,Model,Global
0.9028904138074444,0.624113475177305,0.8651685393258427,0.7251324308416716,0.9462408092520427,LogisticRegression,
0.9475982532751092,0.7631578947368421,0.9367977528089888,0.8411097099621689,0.9881545279774459,RandomForest,🏆 Sélectionné
0.9438552713661884,0.7417943107221007,0.952247191011236,0.8339483394833949,0.9896351262776545,GradientBoosting,
0.9511332917446454,0.8451519536903039,0.8202247191011236,0.8325017818959373,0.9794125188888554,MLP_DeepLearning,
