Accuracy,Precision,Recall,F1-Score,ROC-AUC,Model,Global
0.9028904138074444,0.624113475177305,0.8651685393258427,0.7251324308416716,0.9462408092520427,LogisticRegression,
0.9480141401538782,0.7649082568807339,0.9367977528089888,0.8421717171717171,0.9877585819166121,RandomForest,
0.9627781243501767,0.8856729377713459,0.8595505617977528,0.872416250890948,0.9893619063551571,GradientBoosting,🏆 Sélectionné
0.9523809523809523,0.8396624472573839,0.8384831460674157,0.8390723822909346,0.981953429887037,MLP_DeepLearning,
