Accuracy,Precision,Recall,F1-Score,Model,Global
0.8244957371594926,0.5778584067706017,0.8300317730302347,0.6485717682192087,LogisticRegression,
0.9686005406529424,0.938216632901818,0.8716384340390121,0.9005377862689299,RandomForest,🏆 Sélectionné
0.9584113121231025,0.9202450652311942,0.8183872301701418,0.86107918607182,GradientBoosting,
0.9532127261384903,0.8456760712890983,0.8671265659080041,0.8560218156615974,MLP_DeepLearning,
